releaseYear,lifetime_gross,imdb_averageRating,studio
1997,127120029,6.3,Sony
1997,31407873,5.5,Fox
1998,83488,6.1,Par.
1998,101413188,7.2,DW
1998,55591409,6.1,Par.
1998,9623329,6.0,WB
2002,190418803,6.2,Sony
1999,32547800,7.8,Uni.
1999,4555459,6.8,BV
2000,13042112,7.3,Par.
1999,38178166,7.3,BV
1999,101071502,7.3,Par.
1999,91411151,5.0,DW
2000,113330342,7.2,Sony
2001,25635682,4.8,Par.
2001,64186502,5.4,Par.
2001,144533925,6.8,Uni.
2001,13729742,6.1,Sony
2001,317871467,7.6,WB
2002,94011225,5.4,SonR
2001,5007898,5.7,BV
2002,22448879,6.1,WB
2003,34244097,6.1,Par.
2001,18244060,6.9,DW
2002,41385278,7.1,Uni.
2003,36105433,5.8,WB
2003,4430101,6.4,Par.
2002,116750901,7.2,Uni.
2004,10391003,5.7,Par.
2004,40226215,6.0,Uni.
2003,25942000,6.3,Dis.
2003,30308417,5.3,Uni.
2004,187224490,6.6,WB
2004,120177084,6.1,Uni.
2005,51085416,6.7,BV
2005,72708161,6.4,Uni.
2006,11989328,4.4,SonR
2005,32880591,6.5,Fox
2004,61255921,7.2,Uni.
2006,81612565,7.3,BV
2007,322719944,6.1,P/DW
2006,23151529,7.6,DW
2006,18844784,4.7,Fox
2005,57891803,6.5,DW
2006,70165972,4.8,Fox
2006,15962471,6.5,Sony
2005,48318130,6.7,DW
2006,63450470,6.0,Uni.
2010,30101577,6.4,LGF
2006,57806952,7.0,BV
2006,118703275,5.8,Uni.
2007,1308696,6.0,WB
2007,33302167,6.4,Uni.
2006,33741133,6.4,P/DW
2007,127807262,7.1,BV
2007,8794452,4.7,Fox
2010,19422319,7.7,BV
2007,32417995,5.8,Par.
2008,43945766,6.1,WB
2014,188020017,8.7,Par.
2008,32862104,5.7,Par.
2007,121463226,7.6,Sony
2010,148438600,5.5,Uni.
2017,229024295,6.1,WB
2008,45610425,4.3,BV
2010,13794835,6.3,Uni.
2011,7204138,6.2,Fox
2011,58709717,6.9,Fox
2008,56746769,5.8,LGF
2011,116601172,5.5,WB
2009,40572825,6.1,Uni.
2010,64003625,6.2,Fox
2010,25918920,6.4,Uni.
2011,15428747,7.5,BV
2010,33601190,6.3,Uni.
2013,107100855,7.8,Sony
2012,20275446,6.5,Sony
2012,54760791,6.3,Fox
2018,100478608,4.3,BV
2011,37053924,6.1,Sony
2015,70958,5.9,Sony
2014,259766572,7.8,BV
2014,82390774,6.4,Fox
2016,87242834,6.7,Fox
2016,43034523,7.1,WB
2013,134506920,5.7,Uni.
2014,208545589,7.6,Fox
2015,155190832,6.1,WB (NL)
2013,400738009,7.4,BV
2015,166167230,4.2,Uni.
2015,37446117,7.0,Fox
2015,7696134,5.5,LGF
2016,248757044,7.6,BV
2015,65206105,6.2,Uni.
releaseYear,lifetime_gross,imdb_averageRating,studio
1946,21333333,7.2,RKO
1970,61749765,7.9,Fox
1973,156000000,8.3,Uni.
1974,158119460,7.1,Par.
1979,15014674,5.4,Uni.
1979,11988469,6.6,AVCO
1980,19853892,6.9,WB
1981,108185706,6.8,WB
1981,31206251,7.1,Uni.
1981,19032261,6.6,Par.
1981,10853418,6.6,Par.
1982,2536242,7.8,Fox
1983,2120439,7.2,Uni.
1984,17124395,6.5,Fox
1984,176591618,7.3,Sony
1984,129000,6.9,Uni.
1986,98467863,7.7,WB
1985,61503218,7.7,WB
1986,7177431,6.5,Fox
1986,37191304,7.1,Par.
1986,40456565,7.6,Fox
1986,14302779,6.6,WB
1988,12706478,6.1,BV
1988,28202109,5.7,BV
1988,38413606,7.5,Uni.
1989,241721524,5.2,WB
1990,53208180,6.5,BV
1990,103738726,6.2,BV
1990,55011732,5.4,BV
1990,86303188,6.9,WB
1991,43001500,6.7,Par.
1992,8251071,4.4,WB
1993,44029386,5.0,Fox
1993,63270710,6.9,WB
1993,44789789,6.4,Fox
1995,9914409,7.4,Sony
1994,422783777,8.5,BV
1994,24822619,7.5,BV
1994,20982557,6.6,Uni.
1994,121248145,7.3,Fox
1995,23920048,5.5,BV
1995,63658910,6.9,Uni.
1995,11348324,7.1,Uni.
1995,42512375,8.2,Uni.
1995,100328194,6.2,Uni.
1995,16140822,6.8,Sony
1995,2473668,5.7,BV
1995,8175346,6.3,Par.
1995,18636537,6.5,Sony
1996,5711695,6.3,Sony
1996,32417995,6.2,Par.
1996,4422380,2.7,Uni.
1996,20351264,5.4,WB
1996,32772492,5.9,BV
1996,37771017,6.4,WB
1996,33459416,7.0,Sony
1996,11092559,7.1,WB
1996,21075014,6.1,Sony
1996,56116183,7.7,Par.
1996,5107669,4.1,Sony
1996,671437,7.2,Sony
1998,15064946,6.0,Par.
1997,23144499,5.3,BV
1997,60944660,7.5,WB
1997,16228448,5.1,WB
1997,29481428,6.1,Sony
1997,10925060,5.2,Uni.
1997,181410615,6.9,Uni.
1997,101363301,6.3,Dim.
1999,60652036,7.1,WB
1997,8363899,3.6,Fox
1998,7571115,5.1,BV
1998,67638368,6.6,WB
1998,217049603,8.6,DW
1998,12874899,6.0,Dim.
2005,380270577,7.6,Fox
1998,26875268,6.5,DW
1999,34607430,7.4,Uni.
2001,32720065,4.6,WB
2001,32589624,5.7,Fox
2002,38176783,7.2,BV
2000,89143175,5.6,Dim.
1999,102705852,6.4,Par.
1999,4398989,5.2,Fox
2000,2903404,6.8,BV
2000,233632142,7.8,Fox
2002,118907036,6.4,Par.
2002,73280117,7.2,DW
2001,13596911,6.3,WB
2000,60786269,5.7,BV
2001,198542554,6.2,BV
2001,71107711,6.8,Par.
2002,40077257,5.5,WB
2001,19733089,6.8,WB
2001,23510841,6.5,WB
2001,145103595,6.4,Uni.
2001,13906394,6.2,BV
2002,35168966,6.7,Par.
2002,10200032,5.4,BV
2002,19161999,6.6,BV
2002,25296447,6.8,Fox
2003,6087542,2.6,SonR
2003,42734455,5.5,BV
2003,127154901,5.9,Uni.
2003,47726342,6.6,Uni.
2004,144801023,7.1,Fox
2004,75331600,7.7,Uni.
2004,24020403,7.2,BV
2004,48022900,6.5,Sony
2008,22532572,5.5,Fox
2005,50824620,6.9,WB
2005,3626883,6.7,Fox
2005,63313159,4.8,Sony
2012,44338224,5.1,Fox
2004,48116322,4.4,Fox
2006,17326650,5.4,Fox
2005,74103820,8.0,Dim.
2006,60674817,5.7,WB
2010,415004880,8.3,BV
2006,195330621,6.8,Fox
2007,227471070,8.0,Uni.
2007,33080084,7.7,Par.
2006,75030163,5.1,Fox
2009,13869515,5.8,Uni.
2007,54149098,6.2,WB
2006,4630045,5.9,Uni.
2006,22530295,5.2,Fox
2006,31483450,7.6,Uni.
2015,180202163,7.3,BV
2007,10597734,4.8,BV
2008,32241649,7.1,Uni.
2009,3531756,6.7,Sum.
2011,54712227,7.5,Sum.
2011,73864507,7.5,Par.
2008,31487293,6.6,Sony
2013,116900694,8.2,Par.
2008,6409528,6.2,Fox
2009,150201498,5.7,Par.
2009,196573705,6.9,Fox
2016,15789389,7.3,Fox
2009,44277350,5.8,BV
2010,312433331,6.9,Par.
2011,209397903,7.4,Par.
2013,127352707,6.3,Par.
2011,165249063,7.2,P/DW
2013,9489829,5.7,WB
2010,17804299,6.3,WB (NL)
2012,448139099,8.4,WB
2016,292437,7.0,Sony
2010,119219978,6.6,Sony
2013,268492764,7.2,BV
2013,89107235,7.0,Uni.
2011,117538559,6.9,WB (NL)
2015,56117548,4.3,Fox
2016,20777061,5.0,LGF
2012,30932113,5.7,WB
2013,18494006,6.6,LGF
2013,424668047,7.5,LGF
2015,93436322,6.4,BV
2014,86208010,5.6,Uni.
2015,356461711,8.1,BV
2015,78747585,5.6,Sony
2014,54445357,6.3,WB
2013,15322921,7.8,Uni.
2017,404564861,6.9,Sony
2015,336045770,6.4,Uni.
2015,10219501,5.4,Fox
2016,3712282,6.6,WB
2015,128261724,7.7,Fox
2013,102003019,6.5,Par.
2016,38583626,6.5,LGF
2017,176040665,7.8,Uni.
1942,7000000,7.2,Uni.
1954,928298,7.5,Par.
1955,93602326,7.3,Dis.
1962,65955630,7.9,Par.
1963,91411151,7.4,DW
1965,102272727,7.8,Dis.
1974,7500000,6.7,Uni.
1975,36853000,6.4,Dis.
1975,50000000,8.0,WB
1977,126737428,7.0,Uni.
1978,3446749,7.8,Par.
1978,134451603,7.4,WB
1979,43000000,7.6,Par.
1979,22490039,7.5,Par.
1984,30031783,7.3,Fox
1980,66132626,5.2,Uni.
1982,7983086,5.3,Fox
1983,8400000,6.7,BV
1984,179870271,7.5,Par.
1985,11489982,6.3,Uni.
1986,7153487,7.7,Fox
1987,54731865,6.2,WB
1988,14681192,4.6,WB
1988,40150487,6.4,BV
1988,43184798,6.6,Uni.
1988,16262415,6.9,WB
