releaseMonth,lifetime_gross,imdb_averageRating
11,122006740,6.3
5,21665468,7.1
12,24276506,6.6
10,20883046,6
3,52929168,7.6
2,4651977,6.9
9,14715067,6.9
9,112547,7.2
10,68856263,7
11,6995302,7.1
7,77698625,6
10,32901136,7.7
1,8556940,4.8
8,8016708,5.2
4,32434006,7.8
8,16820893,5.7
4,15240435,5.2
10,3049135,7.3
4,8880705,6.3
1,21006361,6.6
12,141843612,6
6,12267790,6.1
9,8914777,4.5
4,7820688,6.8
4,20016254,6.7
5,28672,7
10,284785,6.1
10,230049,6.7
12,4257354,6.7
4,14942422,5.9
4,3565508,6.6
4,40374,6.8
2,1094668,6
3,2099677,7
1,25836616,7.2
10,38619405,6.8
8,4343227,7.2
4,11242660,6.8
6,181881,7.4
11,8315693,5.6
9,18115927,6.4
12,48102795,5.7
8,3622979,5.7
7,172956409,6.5
5,320319,7.7
4,11438337,4.8
8,26673242,6.6
1,25232289,7
9,48323648,7.7
4,28084357,7.3
4,5936344,6.4
9,64616940,8.2
10,2652246,7.2
6,127120029,6.3
12,1897404,6.6
1,5624282,5.4
8,31407873,5.5
2,83488,6.1
11,12905901,6.5
3,13263993,4.3
4,1171001,6.2
12,101413188,7.2
8,55591409,6.1
8,9623329,6
7,190418803,6.2
12,501818,7.1
2,32547800,7.8
1,22365133,6
9,4555459,6.8
1,13042112,7.3
3,38178166,7.3
2,4912892,7.3
11,48482,7.5
1,6285176,6.1
11,101071502,7.3
11,824295,7
9,292152,2.6
7,91411151,5
2,929606,4.7
8,2205627,6.8
10,13654,6.6
1,362649,7.2
6,113330342,7.2
10,374550,7.8
4,27459615,7.2
10,10155690,4
8,20501,5.6
4,25635682,4.8
2,64186502,5.4
6,144533925,6.8
3,13729742,6.1
1,71509363,7.3
11,317871467,7.6
12,94011225,5.4
8,5007898,5.7
3,4623189,7.2
12,35428675,5.8
9,22448879,6.1
9,22235901,6.1
3,34244097,6.1
10,18244060,6.9
5,41385278,7.1
8,12764657,6.1
12,247948,8.3
1,617403,7.3
4,36105433,5.8
5,792200,7.3
10,4430101,6.4
10,27363891,6.5
11,116750901,7.2
3,343847,7
8,1439232,7.3
10,1492472,5.9
8,3681803,7.4
3,6886089,6.1
3,47938330,5.1
1,10391003,5.7
11,40226215,6
8,25942000,6.3
12,30308417,5.3
9,56878,7
11,2220008,7.1
9,42070939,7.5
11,187224490,6.6
5,120177084,6.1
3,5645298,5.6
12,1082715,7.6
4,51085416,6.7
4,72708161,6.4
1,255364,6.8
8,11989328,4.4
6,1187266,7.4
10,32880591,6.5
5,4398532,7.7
10,61255921,7.2
5,424760,6.7
7,17044981,6.7
2,81612565,7.3
11,9016782,6.2
12,206789,6.4
1,213608,5
5,322719944,6.1
12,16188180,6.2
1,23151529,7.6
10,23844,7.7
3,1173643,7
10,18844784,4.7
9,25799486,5.2
8,57891803,6.5
1,70165972,4.8
10,15962471,6.5
9,48318130,6.7
11,38922,5.7
7,63450470,6
1,30101577,6.4
8,57806952,7
11,34302837,7.5
6,118703275,5.8
1,1308696,6
8,33302167,6.4
3,33741133,6.4
11,127807262,7.1
4,346472,5.5
5,52597610,6.1
10,8794452,4.7
1,37931869,4.6
10,92853,6.6
1,67505,6.5
3,58829,7.2
4,19422319,7.7
8,2672413,8.4
3,32417995,5.8
9,900926,5.3
12,1109660,7.1
5,43945766,6.1
11,188020017,8.7
3,32862104,5.7
8,121463226,7.6
5,1785505,7
4,142666,7.6
9,39263506,6.2
12,148438600,5.5
11,229024295,6.1
12,6008677,6.8
1,34194407,7.6
3,45610425,4.3
4,3573673,6.5
12,5666340,6.2
3,13794835,6.3
10,7204138,6.2
4,58709717,6.9
4,16044025,6.8
10,56746769,5.8
6,116601172,5.5
3,40572825,6.1
3,64003625,6.2
11,16075,6.2
1,25918920,6.4
4,15428747,7.5
10,2377,7.5
9,33601190,6.3
11,657986,7.5
8,194533,7.5
7,6531503,7.1
10,1810078,5.4
4,9047981,6.8
3,6861102,6.3
2,6376145,5.9
10,107100855,7.8
12,13102272,5.7
8,20275446,6.5
8,13843771,7
4,14326864,6
2,54760791,6.3
3,100478608,4.3
8,37053924,6.1
6,1430241,6.5
3,17669,6.1
8,5304920,7.4
3,1714221,6.7
7,29792,6.2
9,12816367,6.6
10,70958,5.9
4,137921,6.5
4,259766572,7.8
8,6334,5.2
5,187112,5.6
8,82390774,6.4
9,87242834,6.7
8,43034523,7.1
2,134506920,5.7
7,208545589,7.6
5,155190832,6.1
1,13769,6.3
4,2627209,7.9
11,400738009,7.4
2,1008726,6.9
2,166167230,4.2
12,8253,5.2
4,37446117,7
1,7696134,5.5
3,60114,7.5
11,248757044,7.6
9,65206105,6.2
11,2341534,7.1
9,127910,7.1
10,1430,6.5
8,35857181,6.6
7,5205468,7.8
2,163577,8.5
2,21333333,7.2
6,21750000,7.7
12,27200000,8.1
1,51081062,7.7
9,879794,8.1
12,111721910,7.9
6,69305181,6.9
4,61749765,7.9
10,29133000,8
6,35377836,6.7
12,156000000,8.3
8,158119460,7.1
8,15014674,5.4
3,11988469,6.6
12,19853892,6.9
6,108185706,6.8
6,31206251,7.1
9,19032261,6.6
7,10853418,6.6
12,47118057,5.8
12,2536242,7.8
2,2120439,7.2
12,17124395,6.5
6,176591618,7.3
3,129000,6.9
2,98467863,7.7
7,24468550,6.9
6,61503218,7.7
6,37803872,6.4
11,5186646,6.4
8,7177431,6.5
3,37191304,7.1
11,11949484,5.1
8,40456565,7.6
4,916172,5.7
7,8033397,5.6
6,115103979,6.1
11,14302779,6.6
1,3751699,4.5
9,19734940,6.3
6,50888729,7.1
3,12706478,6.1
11,28202109,5.7
7,38413606,7.5
4,18875011,5.8
6,241721524,5.2
12,12195695,5.7
1,4611062,5.5
9,14697005,6.4
5,46908987,6.8
11,363561,4.3
7,53208180,6.5
6,103738726,6.2
4,55011732,5.4
8,2938208,7.3
7,86303188,6.9
8,14560247,7.2
7,43001500,6.7
8,8251071,4.4
9,12534961,5.5
9,10555619,7.5
10,44029386,5
5,63270710,6.9
9,44789789,6.4
7,27515786,6.1
8,253311,7.3
9,12324660,6
3,16192320,6.6
1,9914409,7.4
6,422783777,8.5
10,24822619,7.5
2,20982557,6.6
7,1359736,6.3
6,121248145,7.3
12,23920048,5.5
8,63658910,6.9
12,11348324,7.1
11,42512375,8.2
5,100328194,6.2
2,39363635,7.5
9,16140822,6.8
3,2473668,5.7
12,23808,5.2
10,2122561,7
11,8175346,6.3
2,18636537,6.5
1,5711695,6.3
12,3734870,5.3
9,12008376,7.3
2,32417995,6.2
3,4422380,2.7
9,295493,6.8
10,20351264,5.4
3,32772492,5.9
6,12408986,7.4
12,37771017,6.4
8,33459416,7
10,11092559,7.1
7,21075014,6.1
4,56116183,7.7
8,5107669,4.1
12,671437,7.2
4,34767836,5.6
2,2789985,8
8,15064946,6
